id;type;name;status;created_by;created_at;modified_by;modified_at
1;calculate hacking Toys;Intelligent Shoes 강원;Fully-configurable;63384;2021-06-23;99993;2021-06-23
2;program calculating;Home;connecting;44401;2021-06-23;22958;2021-06-23
3;generate;withdrawal 동;경남;4094;2021-06-23;95394;2021-06-24
4;overriding functionalities;Fantastic;Division Berkshire;9178;2021-06-23;50940;2021-06-23
5;Sleek;Granite;Music Seychelles;93122;2021-06-23;63713;2021-06-23
6;Credit Wooden;green ADP;models Concrete;56726;2021-06-23;32213;2021-06-24
7;Home Supervisor;transmitting;Cotton Steel Function-based;65932;2021-06-24;1833;2021-06-23
8;Consultant syndicate Russian;hack;niches deposit;21279;2021-06-24;49958;2021-06-23
9;서울 communities;면 Ergonomic Assistant;Turkmenistan Handcrafted morph;63478;2021-06-23;96834;2021-06-23
10;Orchestrator;visualize synthesize;iterate;61578;2021-06-24;59121;2021-06-23
