id;type;value;created_by;created_at;modified_by;modified_at
1;up Direct Money;sensor Assimilated;50043;2021-06-23;6253;2021-06-23
2;대전;connecting;34310;2021-06-23;73096;2021-06-23
3;feed bottom-line reboot;Human Branding;76865;2021-06-24;57475;2021-06-23
4;scalable;Facilitator;79901;2021-06-23;19726;2021-06-23
5;firmware middleware Ergonomic;CSS;78995;2021-06-23;93545;2021-06-23
6;Human plum JBOD;Books Intranet paradigms;54125;2021-06-23;89223;2021-06-23
7;Account navigating backing;Technician;34898;2021-06-23;85730;2021-06-24
8;Swiss neural;sensor Chicken;73338;2021-06-23;12779;2021-06-23
9;withdrawal District violet;Fiji Tasty Unit;39611;2021-06-24;18997;2021-06-24
10;Graphical 대전 schemas;Legacy;59861;2021-06-23;48760;2021-06-23
