id;name;description;type;apply_target;permission;created_by;created_at;modified_by;modified_at
1;hack Liaison vertical;대구;Hryvnia;Focused;actuating programming;28417;2021-06-23;54859;2021-06-23
2;Movies Home infrastructures;Direct;Face withdrawal;orchid Factors;New;17907;2021-06-23;26009;2021-06-23
3;Philippines;Fish local gold;concept;Sports index Innovative;Borders Streamlined reboot;46377;2021-06-23;63101;2021-06-23
4;강원;azure;Vietnam;calculate;transmit;21592;2021-06-23;44144;2021-06-23
5;동 Borders;Dollar port;Metal end-to-end Fantastic;neural invoice collaborative;panel Islands blue;64255;2021-06-23;1896;2021-06-23
6;Grocery;강원 support Open-architected;Korean exuding white;deposit parse bifurcated;protocol efficient;78080;2021-06-23;89814;2021-06-23
7;Avon vertical Internal;blue Avon;Bedfordshire;next-generation grid-enabled circuit;Account;14901;2021-06-23;3918;2021-06-23
8;capacitor navigating;Romania override driver;SMS FTP PNG;Market Lempira generating;withdrawal backing 면;5676;2021-06-23;38546;2021-06-24
9;markets;읍 deposit;ADP Tugrik;function Creative virtual;Concrete executive;95683;2021-06-23;95713;2021-06-23
10;Cambridgeshire parsing Gorgeous;hack tertiary;task-force protocol;parse;indigo;52662;2021-06-23;49829;2021-06-24
